Attendance,Student_ID
69.0,ST0001
63.0,ST0002
55.0,ST0003
69.0,ST0004
54.0,ST0005
54.0,ST0006
65.0,ST0007
69.0,ST0008
69.0,ST0009
69.0,ST0010
60.0,ST0011
68.0,ST0012
65.0,ST0013
67.0,ST0014
67.0,ST0015
64.0,ST0016
69.0,ST0017
66.0,ST0018
67.0,ST0019
62.0,ST0020
67.0,ST0021
55.0,ST0022
69.0,ST0023
69.0,ST0024
69.0,ST0025
62.0,ST0026
63.0,ST0027
68.0,ST0028
67.0,ST0029
67.0,ST0030
67.0,ST0031
63.0,ST0032
65.0,ST0033
69.0,ST0034
68.0,ST0035
58.0,ST0036
52.0,ST0037
69.0,ST0038
67.0,ST0039
67.0,ST0040
69.0,ST0041
68.0,ST0042
69.0,ST0043
68.0,ST0044
69.0,ST0045
64.0,ST0058
63.0,ST0046
68.0,ST0047
66.0,ST0048
,ST0049
68.0,ST0050
68.0,ST0051
69.0,ST0059
67.0,ST0052
69.0,ST0053
67.0,ST0054
69.0,ST0055
65.0,ST0056
69.0,ST0057
,
