Attendance,Student_ID
54,ST0001
50,ST0002
47,ST0003
48,ST0004
39,ST0005
53,ST0006
53,ST0007
50,ST0009
54,ST0010
55,ST0011
52,ST0012
50,ST0013
53,ST0014
50,ST0015
33,ST0016
54,ST0017
50,ST0018
50,ST0019
36,ST0020
48,ST0021
42,ST0022
53,ST0023
55,ST0024
54,ST0025
52,ST0026
53,ST0028
54,ST0029
52,ST0030
51,ST0031
55,ST0032
52,ST0033
54,ST0034
55,ST0035
54,ST0036
54,ST0037
50,ST0038
46,ST0040
53,ST0041
54,ST0042
54,ST0043
50,ST0044
50,ST0045
50,ST0058
49,ST0046
55,ST0048
36,ST0050
51,ST0051
49,ST0059
55,ST0052
55,ST0053
53,ST0054
55,ST0055
55,ST0056
