ENGLISH LANGUAGE,SOCIAL STUDIES,REL. & MORAL EDU.,MATHEMATICS,INTEGRATED SCIENCE,COMPUTING,FRENCH,GH. LANG. (AKUAPEM TWI),CAREER TECHNOLOGY,CREATIVE ARTS & DESIGN,Student_ID
56.0,56.0,74.0,25.0,41.0,19.0,44.0,51.0,61.0,57.0,ST0001
41.0,41.0,51.0,30.0,22.0,14.0,42.0,25.0,39.0,45.0,ST0002
26.0,26.0,79.0,13.0,32.0,27.0,44.0,29.0,42.0,26.0,ST0003
42.0,42.0,62.0,26.0,31.0,18.0,34.0,17.0,40.0,30.0,ST0004
34.0,34.0,48.0,12.0,23.0,14.0,42.0,32.0,43.0,36.0,ST0005
34.0,34.0,55.0,24.0,29.0,12.0,44.0,36.0,42.0,36.0,ST0006
11.0,11.0,28.0,9.0,17.0,18.0,24.0,14.0,20.0,23.0,ST0007
30.0,30.0,44.0,18.0,31.0,17.0,32.0,18.0,38.0,53.0,
35.0,35.0,84.0,21.0,30.0,21.0,44.0,18.0,38.0,31.0,ST0009
19.0,19.0,48.0,14.0,16.0,22.0,43.0,22.0,15.0,33.0,ST0010
36.0,36.0,40.0,14.0,28.0,24.0,39.0,15.0,40.0,31.0,ST0011
32.0,32.0,43.0,19.0,31.0,21.0,31.0,21.0,29.0,27.0,ST0012
27.0,27.0,82.0,18.0,32.0,27.0,24.0,21.0,47.0,34.0,ST0013
26.0,26.0,64.0,5.0,15.0,16.0,53.0,15.0,34.0,35.0,ST0014
40.0,19.0,65.0,24.0,31.0,31.0,55.0,48.0,45.0,61.0,ST0015
12.0,12.0,63.0,12.0,40.0,,30.0,14.0,5.0,27.0,ST0016
44.0,44.0,78.0,17.0,44.0,28.0,48.0,38.0,59.0,40.0,ST0017
45.0,45.0,80.0,24.0,24.0,13.0,39.0,52.0,56.0,42.0,ST0018
33.0,35.0,51.0,13.0,29.0,23.0,40.0,28.0,44.0,52.0,ST0019
23.0,23.0,49.0,17.0,32.0,8.0,19.0,13.0,32.0,21.0,ST0020
23.0,23.0,41.0,18.0,27.0,12.0,7.0,9.0,22.0,31.0,ST0021
27.0,27.0,47.0,23.0,29.0,24.0,33.0,21.0,32.0,37.0,ST0022
32.0,32.0,73.0,18.0,47.0,30.0,46.0,28.0,52.0,39.0,ST0023
18.0,18.0,55.0,25.0,36.0,36.0,55.0,41.0,36.0,33.0,ST0024
26.0,26.0,66.0,23.0,46.0,21.0,38.0,29.0,35.0,39.0,ST0025
28.0,28.0,45.0,20.0,25.0,15.0,38.0,49.0,50.0,37.0,ST0026
32.0,32.0,69.0,9.0,34.0,16.0,39.0,37.0,35.0,37.0,ST0027
23.0,23.0,58.0,9.0,16.0,10.0,29.0,18.0,31.0,22.0,ST0028
